,Unnamed: 0,Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Y,RAM latency,% defective devices (from 1000 pc),QDR benchamrk
3632,3632,HP,AMD Ryzen 7,64,512GB SSD,Nvidia RTX 3060,14.0,2560x1440,7.5,3.16,macOS,3740.26,8.2,10.09,968.0
3633,3633,Lenovo,Intel i3,64,1TB HDD,Nvidia RTX 3080,15.6,1920x1080,11.1,2.81,Linux,1935.17,7.6,8.45,26.0
3634,3634,HP,Intel i3,32,1TB HDD,Nvidia RTX 2060,16.0,1920x1080,7.7,1.28,Windows,1282.04,7.2,7.37,1149.0
3635,3635,Asus,AMD Ryzen 7,4,1TB SSD,Integrated,16.0,2560x1440,5.9,2.64,Windows,1115.18,7.0,8.65,1818.0
3636,3636,Samsung,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,7.9,1.52,FreeDOS,1847.85,7.5,12.29,1109.0
3637,3637,Lenovo,AMD Ryzen 7,64,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,4.3,3.3,FreeDOS,2818.35,7.9,7.89,2054.0
3638,3638,Asus,AMD Ryzen 7,4,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,9.8,3.32,Windows,1255.64,7.1,9.14,1656.0
3639,3639,MSI,Intel i5,16,1TB SSD,Nvidia RTX 3080,16.0,1366x768,6.6,3.43,Linux,1447.54,7.3,12.84,1586.0
3640,3640,Lenovo,Intel i3,8,256GB SSD,AMD Radeon RX 6800,15.6,1920x1080,11.1,2.11,FreeDOS,931.55,6.8,10.67,1336.0
3641,3641,Apple,Intel i7,4,256GB SSD,AMD Radeon RX 6800,16.0,1366x768,7.0,2.08,FreeDOS,1613.47,7.4,14.1,941.0
3642,3642,Microsoft,AMD Ryzen 5,16,512GB SSD,Nvidia RTX 2060,16.0,1920x1080,7.4,2.87,Linux,1241.28,7.1,10.3,881.0
3643,3643,Lenovo,AMD Ryzen 9,4,512GB SSD,AMD Radeon RX 6600,16.0,2560x1440,9.0,1.26,Windows,2188.51,7.7,5.96,1175.0
3644,3644,Apple,Intel i3,8,512GB SSD,Nvidia RTX 3060,14.0,3840x2160,11.1,1.28,FreeDOS,2053.66,7.6,12.31,1046.0
3645,3645,Samsung,AMD Ryzen 7,16,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,10.5,1.38,Linux,1539.07,7.3,12.46,1333.0
3646,3646,Apple,AMD Ryzen 5,64,1TB SSD,Nvidia GTX 1650,17.3,1366x768,4.1,3.4,FreeDOS,3179.9,8.1,12.14,1173.0
3647,3647,HP,AMD Ryzen 5,16,1TB SSD,Nvidia RTX 3080,15.6,1920x1080,6.2,1.6,Windows,1241.22,7.1,7.58,1449.0
3648,3648,Acer,Intel i3,4,512GB SSD,Integrated,14.0,1366x768,11.3,1.45,macOS,376.72,5.9,6.29,1217.0
3649,3649,Asus,AMD Ryzen 9,8,2TB SSD,AMD Radeon RX 6600,13.3,3840x2160,5.8,2.65,Linux,2836.88,8.0,17.5,1560.0
3650,3650,Lenovo,AMD Ryzen 3,4,1TB HDD,Nvidia RTX 3060,13.3,1920x1080,7.5,2.02,FreeDOS,570.97,6.3,11.01,663.0
3651,3651,HP,Intel i7,4,1TB SSD,Nvidia GTX 1650,17.3,3840x2160,8.5,2.84,macOS,2096.91,7.6,8.65,967.0
3652,3652,Asus,AMD Ryzen 9,8,512GB SSD,AMD Radeon RX 6800,16.0,1920x1080,7.6,2.83,Linux,1713.47,7.4,14.43,642.0
3653,3653,Asus,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 2060,15.6,2560x1440,10.4,2.21,Windows,1917.79,7.6,4.8,782.0
3654,3654,Apple,Intel i7,64,1TB HDD,Nvidia RTX 3060,16.0,3840x2160,7.8,1.54,FreeDOS,6693.77,8.8,3.22,710.0
3655,3655,Razer,AMD Ryzen 7,32,1TB HDD,Nvidia RTX 3060,14.0,1920x1080,5.3,1.54,Windows,2323.26,7.8,8.04,815.0
3656,3656,Razer,Intel i3,16,512GB SSD,AMD Radeon RX 6600,14.0,1920x1080,4.1,2.2,macOS,1354.78,7.2,11.61,1393.0
3657,3657,Microsoft,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 2060,17.3,1366x768,7.6,3.32,Linux,1774.7,7.5,9.85,501.0
3658,3658,Razer,Intel i9,32,1TB SSD,Nvidia GTX 1650,13.3,3840x2160,5.9,3.47,Windows,6091.5,8.7,9.74,1161.0
3659,3659,MSI,Intel i3,16,512GB SSD,Integrated,14.0,1366x768,5.2,1.96,FreeDOS,688.17,6.5,11.34,518.0
3660,3660,Apple,AMD Ryzen 3,4,512GB SSD,AMD Radeon RX 6800,15.6,2560x1440,6.3,1.28,macOS,1428.02,7.3,10.24,502.0
3661,3661,Razer,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3080,14.0,1366x768,8.4,1.55,Linux,1847.65,7.5,9.35,774.0
3662,3662,Samsung,Intel i5,4,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,7.9,3.26,FreeDOS,1261.7,7.1,10.41,974.0
3663,3663,Dell,Intel i3,8,512GB SSD,Nvidia GTX 1650,13.3,1920x1080,5.4,1.22,FreeDOS,741.38,6.6,12.09,1905.0
3664,3664,Dell,AMD Ryzen 3,8,512GB SSD,Nvidia RTX 2060,15.6,3840x2160,4.5,2.84,Windows,1536.93,7.3,10.23,940.0
3665,3665,Acer,Intel i7,8,256GB SSD,Integrated,15.6,1366x768,6.2,2.22,macOS,937.21,6.8,4.52,1337.0
3666,3666,Apple,Intel i9,64,256GB SSD,Nvidia RTX 3060,13.3,3840x2160,8.7,1.65,Windows,9729.41,9.2,11.45,1160.0
3667,3667,HP,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6600,17.3,3840x2160,8.5,3.18,FreeDOS,4831.96,8.5,11.27,1426.0
3668,3668,Dell,Intel i7,64,1TB HDD,AMD Radeon RX 6600,16.0,1920x1080,10.5,1.93,FreeDOS,2803.18,7.9,6.39,861.0
3669,3669,Razer,AMD Ryzen 5,16,2TB SSD,Nvidia RTX 3060,13.3,1920x1080,9.8,3.45,Linux,1619.71,7.4,11.89,475.0
3670,3670,Microsoft,Intel i9,64,2TB SSD,Integrated,13.3,1366x768,5.1,2.91,Windows,2098.0,7.6,8.29,1374.0
3671,3671,Razer,Intel i5,64,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,9.3,1.34,macOS,3166.37,8.1,7.78,744.0
3672,3672,HP,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3060,13.3,1920x1080,7.0,2.42,Windows,1123.8,7.0,10.76,1146.0
3673,3673,MSI,Intel i5,64,256GB SSD,AMD Radeon RX 6600,13.3,1920x1080,10.8,3.28,macOS,3151.78,8.1,13.39,1437.0
3674,3674,Microsoft,Intel i5,16,1TB HDD,Integrated,14.0,3840x2160,9.3,1.96,Linux,1173.39,7.1,7.72,584.0
3675,3675,Apple,Intel i5,16,512GB SSD,AMD Radeon RX 6600,16.0,3840x2160,9.7,1.84,Linux,3274.5,8.1,11.84,1662.0
3676,3676,Acer,AMD Ryzen 9,8,1TB HDD,AMD Radeon RX 6600,13.3,2560x1440,7.6,3.44,FreeDOS,1694.89,7.4,10.92,282.0
3677,3677,Samsung,AMD Ryzen 9,8,1TB HDD,Nvidia RTX 3080,14.0,2560x1440,10.8,1.72,macOS,1739.68,7.5,7.86,710.0
3678,3678,Lenovo,Intel i9,64,1TB HDD,AMD Radeon RX 6800,16.0,1366x768,6.9,2.1,Linux,3035.26,8.0,7.94,1363.0
3679,3679,Razer,AMD Ryzen 9,4,1TB HDD,Integrated,14.0,1366x768,10.1,1.92,Linux,1097.17,7.0,12.39,957.0
3680,3680,MSI,AMD Ryzen 7,64,512GB SSD,Nvidia RTX 2060,16.0,3840x2160,7.9,2.42,FreeDOS,6923.52,8.8,8.79,752.0
3681,3681,MSI,Intel i5,64,1TB HDD,Nvidia RTX 3080,15.6,3840x2160,6.6,1.61,Linux,4594.03,8.4,9.26,1120.0
3682,3682,Lenovo,AMD Ryzen 9,4,256GB SSD,Nvidia RTX 3060,13.3,3840x2160,5.2,2.25,Linux,2618.94,7.9,5.32,720.0
3683,3683,Dell,Intel i9,4,2TB SSD,Integrated,14.0,3840x2160,9.0,2.66,Linux,1793.72,7.5,11.26,938.0
3684,3684,MSI,AMD Ryzen 5,16,1TB HDD,AMD Radeon RX 6600,16.0,1920x1080,10.0,2.57,Windows,1528.78,7.3,7.18,2044.0
3685,3685,Lenovo,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3060,17.3,3840x2160,5.3,1.63,Linux,1923.7,7.6,9.7,1109.0
3686,3686,Asus,AMD Ryzen 5,32,512GB SSD,Nvidia RTX 3060,14.0,1920x1080,4.3,1.25,FreeDOS,1455.83,7.3,11.58,1319.0
3687,3687,Acer,Intel i3,64,1TB HDD,Nvidia RTX 3080,16.0,3840x2160,6.3,3.13,macOS,2964.97,8.0,9.32,1493.0
3688,3688,Lenovo,Intel i3,16,256GB SSD,Nvidia RTX 2060,13.3,2560x1440,5.6,2.35,Windows,1207.52,7.1,16.47,1052.0
3689,3689,Asus,AMD Ryzen 7,32,1TB SSD,Nvidia GTX 1650,17.3,1920x1080,11.8,2.37,Windows,2248.75,7.7,4.95,1627.0
3690,3690,Lenovo,AMD Ryzen 9,4,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,8.0,3.25,Windows,1941.84,7.6,10.6,1399.0
3691,3691,HP,AMD Ryzen 5,64,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,7.9,2.45,macOS,2418.0,7.8,14.13,895.0
3692,3692,Microsoft,Intel i9,8,1TB SSD,Nvidia RTX 2060,17.3,3840x2160,9.4,1.7,Linux,3140.95,8.1,6.35,569.0
3693,3693,Acer,AMD Ryzen 3,16,2TB SSD,Integrated,15.6,1366x768,10.9,3.48,Linux,686.11,6.5,7.18,456.0
3694,3694,Razer,Intel i3,32,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,5.4,2.7,macOS,1872.56,7.5,10.24,1232.0
3695,3695,Dell,AMD Ryzen 5,16,2TB SSD,Nvidia RTX 3060,13.3,1366x768,11.7,2.6,Windows,1087.74,7.0,5.15,958.0
3696,3696,HP,AMD Ryzen 5,4,2TB SSD,AMD Radeon RX 6600,16.0,2560x1440,4.9,3.5,macOS,1121.7,7.0,9.1,171.0
3697,3697,Dell,Intel i5,64,1TB SSD,Nvidia RTX 3080,13.3,3840x2160,6.0,1.39,Linux,3875.08,8.3,10.49,345.0
3698,3698,Samsung,AMD Ryzen 7,4,2TB SSD,Nvidia RTX 2060,13.3,1366x768,11.1,2.92,FreeDOS,939.43,6.8,12.75,896.0
3699,3699,Asus,AMD Ryzen 5,32,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,11.7,2.48,FreeDOS,2089.9,7.6,12.39,1487.0
3700,3700,MSI,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,13.3,1920x1080,11.3,2.23,Windows,874.34,6.8,12.1,912.0
3701,3701,Lenovo,Intel i7,16,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,8.3,1.89,macOS,2559.0,7.8,10.32,812.0
3702,3702,Dell,Intel i5,32,1TB SSD,AMD Radeon RX 6800,17.3,2560x1440,5.9,2.04,macOS,2259.69,7.7,8.67,1223.0
3703,3703,Microsoft,AMD Ryzen 5,8,1TB HDD,Nvidia RTX 3060,16.0,1920x1080,9.1,1.45,macOS,1063.58,7.0,11.77,2063.0
3704,3704,Microsoft,AMD Ryzen 3,16,256GB SSD,Integrated,15.6,2560x1440,10.8,2.15,Linux,902.12,6.8,11.17,1488.0
3705,3705,Acer,Intel i9,4,1TB HDD,Nvidia RTX 2060,15.6,2560x1440,11.6,3.5,FreeDOS,1794.17,7.5,10.03,1937.0
3706,3706,Samsung,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3060,17.3,1366x768,10.2,3.04,macOS,1578.82,7.4,10.55,826.0
3707,3707,Asus,AMD Ryzen 5,64,2TB SSD,Nvidia RTX 2060,15.6,1366x768,11.9,1.3,Linux,2217.61,7.7,12.58,1697.0
3708,3708,Apple,AMD Ryzen 5,64,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,5.0,1.52,Linux,3859.84,8.3,11.15,1325.0
3709,3709,Asus,Intel i3,64,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,5.5,2.09,Linux,1553.98,7.3,10.24,824.0
3710,3710,Apple,AMD Ryzen 5,8,1TB HDD,Nvidia RTX 3080,13.3,1920x1080,11.9,2.59,Windows,1233.71,7.1,11.06,1538.0
3711,3711,Apple,Intel i3,16,1TB HDD,Nvidia RTX 2060,16.0,1920x1080,9.1,1.53,FreeDOS,1284.36,7.2,11.96,1039.0
3712,3712,Dell,AMD Ryzen 7,16,1TB SSD,AMD Radeon RX 6800,15.6,1920x1080,10.9,1.63,Windows,1519.29,7.3,11.9,1191.0
3713,3713,Dell,Intel i7,32,1TB SSD,AMD Radeon RX 6600,17.3,1366x768,7.9,2.27,FreeDOS,1937.71,7.6,3.68,1809.0
3714,3714,Asus,Intel i9,8,256GB SSD,Nvidia RTX 2060,14.0,3840x2160,9.4,2.97,Windows,2853.63,8.0,10.47,2013.0
3715,3715,Razer,AMD Ryzen 5,32,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,8.8,2.4,FreeDOS,2948.28,8.0,12.65,1479.0
3716,3716,Dell,Intel i9,64,512GB SSD,Integrated,14.0,1920x1080,8.4,3.41,macOS,2608.38,7.9,8.34,836.0
3717,3717,HP,Intel i3,8,512GB SSD,Nvidia RTX 3060,17.3,1366x768,8.4,2.08,FreeDOS,838.52,6.7,9.99,1250.0
3718,3718,Apple,AMD Ryzen 3,64,1TB HDD,Nvidia GTX 1650,15.6,1920x1080,6.8,1.22,Windows,2799.75,7.9,11.53,1312.0
3719,3719,HP,Intel i7,16,512GB SSD,Nvidia RTX 2060,17.3,1366x768,6.6,1.5,FreeDOS,1353.93,7.2,11.45,579.0
3720,3720,Lenovo,AMD Ryzen 7,16,1TB SSD,Nvidia GTX 1650,16.0,3840x2160,4.1,3.15,Linux,2715.2,7.9,6.44,1581.0
3721,3721,HP,AMD Ryzen 3,64,1TB SSD,AMD Radeon RX 6800,14.0,1920x1080,9.1,2.82,FreeDOS,2036.02,7.6,14.17,528.0
3722,3722,Microsoft,Intel i3,8,1TB SSD,Nvidia RTX 2060,15.6,3840x2160,5.9,2.62,Windows,1648.14,7.4,9.12,554.0
3723,3723,Microsoft,Intel i3,8,512GB SSD,Nvidia RTX 3080,15.6,3840x2160,4.8,2.6,macOS,1602.32,7.4,5.96,670.0
3724,3724,Asus,Intel i5,4,512GB SSD,Integrated,15.6,1366x768,12.0,2.21,macOS,571.41,6.3,11.8,509.0
3725,3725,HP,Intel i7,8,512GB SSD,AMD Radeon RX 6800,13.3,2560x1440,5.8,2.53,macOS,1641.16,7.4,7.53,960.0
3726,3726,MSI,Intel i5,16,256GB SSD,AMD Radeon RX 6600,13.3,1366x768,4.9,3.27,macOS,1227.51,7.1,14.66,1158.0
3727,3727,Samsung,AMD Ryzen 9,16,2TB SSD,Nvidia RTX 3060,15.6,2560x1440,8.4,2.16,macOS,2869.56,8.0,15.48,1065.0
3728,3728,Asus,AMD Ryzen 7,4,256GB SSD,AMD Radeon RX 6600,15.6,2560x1440,8.8,1.4,Linux,1420.57,7.3,11.76,1024.0
3729,3729,Dell,Intel i7,32,512GB SSD,Nvidia RTX 3060,15.6,3840x2160,8.8,2.92,Linux,3558.3,8.2,16.86,901.0
3730,3730,Razer,AMD Ryzen 9,32,1TB SSD,Integrated,15.6,2560x1440,9.6,2.46,Windows,3408.32,8.1,14.23,1413.0
3731,3731,Asus,Intel i3,4,512GB SSD,AMD Radeon RX 6800,13.3,1366x768,11.5,1.66,macOS,660.52,6.5,13.23,1328.0
3732,3732,Lenovo,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3060,14.0,2560x1440,6.7,2.76,macOS,2503.42,7.8,8.33,1087.0
3733,3733,Samsung,Intel i7,32,512GB SSD,AMD Radeon RX 6800,15.6,3840x2160,6.5,3.43,Windows,3751.1,8.2,12.47,1266.0
3734,3734,Asus,Intel i9,8,1TB HDD,Integrated,14.0,2560x1440,9.7,1.84,macOS,1303.36,7.2,19.06,1374.0
3735,3735,Acer,AMD Ryzen 7,8,256GB SSD,AMD Radeon RX 6800,16.0,1920x1080,4.2,1.62,macOS,1477.92,7.3,11.0,859.0
3736,3736,HP,AMD Ryzen 7,32,256GB SSD,Nvidia GTX 1650,15.6,2560x1440,10.5,3.35,FreeDOS,2641.73,7.9,7.06,1007.0
3737,3737,Apple,AMD Ryzen 5,4,512GB SSD,AMD Radeon RX 6600,14.0,3840x2160,8.7,1.8,Linux,2254.74,7.7,12.53,1044.0
3738,3738,Acer,Intel i9,64,256GB SSD,AMD Radeon RX 6600,15.6,1920x1080,8.7,1.88,macOS,4381.44,8.4,11.33,804.0
3739,3739,Dell,AMD Ryzen 5,16,512GB SSD,Nvidia RTX 3080,15.6,1920x1080,9.7,3.44,Linux,1195.28,7.1,11.1,1082.0
3740,3740,MSI,AMD Ryzen 9,32,512GB SSD,Nvidia RTX 2060,14.0,3840x2160,7.6,1.28,Windows,5551.23,8.6,8.96,880.0
3741,3741,Asus,AMD Ryzen 7,64,512GB SSD,AMD Radeon RX 6600,13.3,3840x2160,4.3,1.41,Windows,4867.83,8.5,11.84,1157.0
3742,3742,Apple,AMD Ryzen 5,32,2TB SSD,AMD Radeon RX 6600,13.3,1920x1080,10.1,1.37,FreeDOS,2500.77,7.8,11.82,908.0
3743,3743,Apple,AMD Ryzen 5,8,512GB SSD,AMD Radeon RX 6600,17.3,1366x768,8.8,1.66,Linux,1317.39,7.2,7.5,896.0
3744,3744,Lenovo,Intel i5,4,512GB SSD,AMD Radeon RX 6600,14.0,3840x2160,10.1,2.97,macOS,1471.08,7.3,9.59,1588.0
3745,3745,Lenovo,Intel i9,8,1TB SSD,AMD Radeon RX 6800,13.3,2560x1440,5.6,3.34,Windows,2053.53,7.6,14.61,1145.0
3746,3746,Lenovo,Intel i5,8,512GB SSD,Integrated,14.0,3840x2160,11.8,3.45,macOS,1202.86,7.1,10.69,1141.0
3747,3747,Lenovo,AMD Ryzen 7,4,1TB SSD,Integrated,17.3,1366x768,7.0,2.59,macOS,569.4,6.3,11.79,1283.0
3748,3748,Asus,Intel i7,16,1TB HDD,Nvidia RTX 2060,13.3,1366x768,8.6,1.66,macOS,1181.92,7.1,7.07,1114.0
3749,3749,Apple,Intel i9,32,512GB SSD,AMD Radeon RX 6600,17.3,1366x768,12.0,2.25,Windows,3511.43,8.2,12.18,1755.0
3750,3750,Dell,AMD Ryzen 7,8,256GB SSD,AMD Radeon RX 6600,16.0,3840x2160,8.1,1.62,Linux,2420.7,7.8,12.01,1025.0
3751,3751,Microsoft,Intel i3,8,256GB SSD,AMD Radeon RX 6600,14.0,2560x1440,11.8,1.85,FreeDOS,1134.65,7.0,5.25,1033.0
3752,3752,Dell,AMD Ryzen 5,8,2TB SSD,Nvidia RTX 3080,17.3,3840x2160,6.3,2.31,FreeDOS,1922.57,7.6,15.31,2154.0
3753,3753,Razer,Intel i9,8,2TB SSD,AMD Radeon RX 6600,16.0,1366x768,6.8,2.53,Linux,2246.77,7.7,5.78,1972.0
3754,3754,Acer,Intel i9,8,512GB SSD,AMD Radeon RX 6800,15.6,1366x768,9.1,1.87,Linux,1507.93,7.3,11.98,1630.0
3755,3755,Razer,AMD Ryzen 5,32,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,11.3,2.72,FreeDOS,3116.32,8.0,8.74,1750.0
3756,3756,Asus,AMD Ryzen 5,16,512GB SSD,Integrated,17.3,1920x1080,9.3,1.42,Windows,995.95,6.9,15.4,1852.0
3757,3757,Apple,AMD Ryzen 5,32,2TB SSD,Nvidia RTX 3080,13.3,2560x1440,10.5,3.49,Windows,2953.07,8.0,10.35,1188.0
3758,3758,MSI,Intel i3,32,256GB SSD,Nvidia GTX 1650,17.3,1920x1080,8.7,2.03,Windows,1988.8,7.6,13.28,1050.0
3759,3759,Razer,AMD Ryzen 7,4,1TB HDD,Nvidia RTX 3060,14.0,2560x1440,6.0,3.17,Linux,1630.53,7.4,9.91,1696.0
3760,3760,Razer,Intel i3,16,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,6.5,1.43,Windows,2081.36,7.6,11.22,1169.0
3761,3761,HP,Intel i3,8,256GB SSD,AMD Radeon RX 6600,15.6,1366x768,6.3,2.14,Linux,900.23,6.8,8.44,1647.0
3762,3762,Microsoft,AMD Ryzen 9,32,2TB SSD,AMD Radeon RX 6800,15.6,1920x1080,8.9,2.99,Windows,2815.63,7.9,8.76,1530.0
3763,3763,Asus,Intel i5,4,1TB SSD,AMD Radeon RX 6600,17.3,3840x2160,7.3,1.71,Linux,1505.81,7.3,13.96,1896.0
3764,3764,HP,Intel i5,8,2TB SSD,Nvidia RTX 3080,15.6,1920x1080,11.1,3.48,macOS,1252.13,7.1,10.52,1481.0
3765,3765,Razer,AMD Ryzen 3,64,1TB HDD,Nvidia GTX 1650,16.0,3840x2160,7.1,1.47,macOS,4179.72,8.3,7.03,1064.0
3766,3766,Acer,AMD Ryzen 7,4,512GB SSD,Nvidia RTX 3060,17.3,1920x1080,9.4,2.31,Windows,1171.13,7.1,8.75,1700.0
3767,3767,Razer,Intel i9,4,2TB SSD,Nvidia RTX 3080,14.0,3840x2160,5.3,3.36,FreeDOS,3481.23,8.2,11.3,210.0
3768,3768,Dell,Intel i7,16,256GB SSD,Nvidia RTX 3080,14.0,2560x1440,8.3,2.87,Linux,1973.81,7.6,4.01,452.0
3769,3769,Razer,AMD Ryzen 9,64,512GB SSD,Nvidia RTX 2060,15.6,2560x1440,7.4,1.3,Linux,7551.04,8.9,6.15,741.0
3770,3770,Dell,Intel i9,64,256GB SSD,Integrated,17.3,2560x1440,6.1,2.4,FreeDOS,3572.77,8.2,9.65,1036.0
3771,3771,Dell,AMD Ryzen 7,16,256GB SSD,Integrated,17.3,1366x768,4.4,1.5,macOS,929.79,6.8,13.77,883.0
3772,3772,Razer,AMD Ryzen 5,32,512GB SSD,Nvidia GTX 1650,13.3,2560x1440,5.9,2.85,Linux,2748.86,7.9,7.28,513.0
3773,3773,Lenovo,AMD Ryzen 7,16,1TB HDD,Nvidia RTX 3080,16.0,1366x768,5.2,2.88,macOS,1088.88,7.0,7.57,987.0
3774,3774,HP,AMD Ryzen 9,16,512GB SSD,Nvidia GTX 1650,14.0,1366x768,6.5,2.28,Linux,1730.12,7.5,10.78,1210.0
3775,3775,Samsung,AMD Ryzen 9,64,1TB SSD,AMD Radeon RX 6800,17.3,3840x2160,10.6,2.86,macOS,7077.82,8.9,6.66,901.0
3776,3776,Asus,Intel i3,16,1TB SSD,Nvidia RTX 2060,17.3,1366x768,6.3,1.7,Linux,980.81,6.9,6.25,1678.0
3777,3777,Asus,AMD Ryzen 3,64,2TB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.2,1.21,FreeDOS,3363.72,8.1,9.62,1021.0
3778,3778,HP,AMD Ryzen 3,4,2TB SSD,Integrated,15.6,1920x1080,10.5,3.17,Windows,597.5,6.4,8.89,1676.0
3779,3779,Microsoft,Intel i7,16,1TB HDD,Nvidia GTX 1650,14.0,1920x1080,4.5,1.85,FreeDOS,1380.44,7.2,1.38,524.0
3780,3780,Asus,AMD Ryzen 5,64,1TB SSD,Nvidia RTX 3080,15.6,1920x1080,11.1,2.93,FreeDOS,2760.14,7.9,12.08,2224.0
3781,3781,HP,Intel i7,64,512GB SSD,Nvidia RTX 3080,15.6,1920x1080,7.2,1.77,Windows,3232.52,8.1,7.28,1276.0
3782,3782,Microsoft,AMD Ryzen 5,64,1TB HDD,Nvidia GTX 1650,13.3,3840x2160,7.1,2.78,Windows,3232.81,8.1,14.66,1993.0
3783,3783,Razer,Intel i3,4,512GB SSD,Nvidia RTX 2060,16.0,3840x2160,4.3,2.61,Linux,1889.98,7.5,7.89,1320.0
3784,3784,Lenovo,AMD Ryzen 5,8,512GB SSD,Nvidia GTX 1650,13.3,1920x1080,11.3,2.96,macOS,1080.29,7.0,11.65,1437.0
3785,3785,Dell,Intel i3,16,1TB SSD,Integrated,15.6,2560x1440,6.7,2.61,FreeDOS,1078.83,7.0,8.7,2044.0
3786,3786,Apple,Intel i5,8,512GB SSD,AMD Radeon RX 6800,13.3,1366x768,12.0,2.35,Linux,1240.02,7.1,5.73,1787.0
3787,3787,Apple,AMD Ryzen 7,4,1TB SSD,AMD Radeon RX 6600,15.6,1366x768,8.5,2.52,macOS,1456.63,7.3,9.58,957.0
3788,3788,Samsung,Intel i7,32,1TB SSD,Integrated,13.3,1920x1080,6.9,2.82,Linux,1342.25,7.2,13.61,1042.0
3789,3789,Dell,Intel i5,16,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.1,1.44,FreeDOS,1541.85,7.3,17.18,1385.0
3790,3790,Apple,AMD Ryzen 9,64,512GB SSD,AMD Radeon RX 6600,15.6,3840x2160,7.5,1.37,FreeDOS,10807.88,9.3,11.38,1288.0
3791,3791,Razer,AMD Ryzen 7,64,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,10.1,2.97,Linux,5748.21,8.7,8.08,1085.0
3792,3792,Apple,Intel i3,4,2TB SSD,Nvidia GTX 1650,17.3,1366x768,9.2,3.2,Linux,1165.44,7.1,10.98,995.0
3793,3793,Microsoft,AMD Ryzen 3,16,256GB SSD,Integrated,15.6,1366x768,10.5,2.55,macOS,579.69,6.4,5.97,583.0
3794,3794,Samsung,AMD Ryzen 9,4,256GB SSD,AMD Radeon RX 6600,14.0,1920x1080,5.6,2.75,Windows,1477.4,7.3,10.41,869.0
3795,3795,Microsoft,Intel i7,8,512GB SSD,Nvidia GTX 1650,17.3,1366x768,9.1,2.89,Linux,1260.55,7.1,13.59,1891.0
3796,3796,Dell,Intel i9,4,512GB SSD,AMD Radeon RX 6800,16.0,2560x1440,5.1,1.53,Linux,1989.8,7.6,11.61,1298.0
3797,3797,Asus,Intel i3,32,1TB SSD,Integrated,14.0,2560x1440,4.3,2.43,Windows,1042.44,6.9,10.92,676.0
3798,3798,HP,AMD Ryzen 5,32,2TB SSD,AMD Radeon RX 6800,15.6,2560x1440,4.3,2.44,Linux,2068.24,7.6,12.18,2066.0
3799,3799,MSI,AMD Ryzen 9,16,1TB SSD,Integrated,13.3,1920x1080,9.0,3.12,FreeDOS,1823.71,7.5,6.05,1444.0
3800,3800,Microsoft,Intel i5,16,256GB SSD,Nvidia RTX 3080,16.0,2560x1440,5.0,3.19,Linux,1602.42,7.4,8.79,2228.0
3801,3801,Apple,Intel i5,32,512GB SSD,Nvidia RTX 2060,14.0,2560x1440,6.3,2.25,Windows,2834.77,7.9,3.39,1013.0
3802,3802,Acer,AMD Ryzen 3,64,1TB HDD,AMD Radeon RX 6600,15.6,1366x768,9.0,2.42,FreeDOS,1535.39,7.3,16.15,1140.0
3803,3803,Asus,AMD Ryzen 5,32,1TB HDD,Nvidia RTX 2060,17.3,1920x1080,11.0,2.27,FreeDOS,1430.17,7.3,11.32,1275.0
3804,3804,Acer,AMD Ryzen 3,32,1TB SSD,Nvidia GTX 1650,17.3,1920x1080,10.0,2.21,macOS,1517.66,7.3,13.42,1043.0
3805,3805,Asus,AMD Ryzen 9,64,2TB SSD,Nvidia RTX 3060,13.3,1920x1080,7.5,3.02,Linux,3849.33,8.3,5.74,1226.0
3806,3806,MSI,Intel i9,16,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,10.5,1.27,Windows,3174.41,8.1,5.6,844.0
